Term_English;Istilah_Indonesia;Definisi
Bubble;Gelembung;Buble merupakan kebijakan mengenai perhitungan emisi bersama dari beberapa negara yang menjadi suatu grup yang 17 menyertakan pula terget untuk grup tersebut. Instrumen Kebijakan untuk pengurangan polusi yang dinamai perlakuan terhadap beberapa poin emisi mereka yang terkandung seolaholah berada dalam sebuah gelembung imajiner. Pasal 4 dari Protokol Kyoto memungkinkan sekelompok negara untuk memenuhi target mereka tercantum dalam Lampiran B bersamasama dengan menggabungkan emisi mereka di bawah satu 'gelembung' dan berbagi beban (misalnya UE).
Burden;Burden;Massa total zat gas yang menjadi perhatian di atmofer.
Business-as-Usual (BAU);Bisnis seperti biasa;Referensi kebijakan netral untuk emisi dimasa depan, yangmerupakan proyeksi dari emisi dimasa depan tanpa ada kegiatan REDD. 18
C3 plants;Tanaman C3;Tanaman yang menghasilkan senyawa karbon dengan tiga ikatan selama berfoto sintesis, termasuk pohon-pohon besar dan tanaman pertanian seperti padi, gandum, kedelai, kentang dan sayuran.
C4 plants;Tanaman C4;Tanaman, terutama asal tropis, yang menghasilkan senyawa karbon ikatan empat selama ber fotosintesis, termasuk keluarga padi-padian dan beberapa komoditas pertanian yang penting seperti jagung, tebu, dan sorgum.
C;C;Isotop karbon stabil yang memiliki berat atom sekitar 13. Pengukuran rasio 13C/12C dalam molekul karbon dioksida digunakan untuk menyimpulkan pentingnya perbedaan siklus karbon dan proses iklim dan ukuran terestrial reservoir karbon.
C stabil isotop;C stabil isotop;karbon yang memiliki berat atom sekitar 14, dan masa setengan hidupnya sekitar 5.700 tahun. Hal ini sering digunakan untuk tujuan menggabungkan kembali beberapa 40 ribu tahunan.
Calcareous organisms;Organisme Kapur;Sebuah gugusan besar dan beragam organisme, banyak terdapat di laut, organism tersebut menggunakan kalsit atau aragonit untuk membentuk cangkang atau kerangka tubuh.
Calcite;Calcite;Suatu mineral kalsium karbonat (kapur), yang digunakan oleh kerang-kerangan untuk membentuk kerangka, organism contohnya seperti foraminifera, beberapa makroalga, lobster, kepiting, bulu bab atau duri babi dan bintang laut. Kalsit dari aragonit kurang sensitif terhadap pengasaman laut, juga banyak digunakan oleh organisme laut lainnya. 19
Canopy Cover;Penutupan Kanopi;Persen dari permukaan ekosistem yang berada dibawah kanopy tumbuhan.
Cap;Paket;Mandat untuk menahan diri sebagai batas atas emisi. Batas atas emisi yang diperbolehkan. Mandat Protokol Kyoto sebagai topi emisi yang dalam jangka waktu yang dijadwalkan pada jumlah emisi antropogenik gas rumah kaca iyang akan dikeluarkan oleh negara-negara Annex B. Untuk Uni Eropa misalnya apada tahun 2008-2012 harus mengurangi CO2 setara emisi dari enam gas rumah kaca ke tingkat 8% lebih rendah dari tingkat tahun 1990 an.
Capacity;Kapasitas;Merupakan kombinasi dari kemampuan, atribut dan sumber daya yang terdapat pada suatu individu, komonitas, masyarakat atau organisasi, yang dapat digunakan dalam usaha untuk pencapaian target.
Capacity building;Pengembangan Kapasitas;Dalam konteks perubahan iklim, peningkatan kapasitas sedang mengembangkan teknis keterampilan dan kemampuan kelembagaan dalam negara berkembang dan yang ekonomi dalam transisi untuk memungkinkan mereka berpartisipasi dalam semua aspek adaptasi, mitigasi, dan juga terlibat dalam penelitian tentang perubahan iklim, atau semua yang sudah tertuang dalam pelaksanaan Mekanisme Kyoto. proses ini memastikan bahwa sumberdaya manusia disuatu negara telah memiliki kemampuan dan pengetahuan yang cukup untuk mengerti dan mampu mengimplementasikan protokol Kyoto.
Carbon Capture and Storage (CCS);Penangkap dan Penyimpan Carbon;Penangkapan dan Penyimpanan Karbon adalah sebuah proses yang terdiri dari pemisahan CO2 dari industri dan berhubungan langsung dengan sumber energi, transportasi ke lokasi penyimpanan, dan isolasi jangka panjang dari atmosfer.
Carbon cycle;Siklus Carbon;Istilah yang digunakan untuk menggambarkan alur karbon (dalamberbagai bentuk, misalnya karbon dioksida) melalui atmosfer,biosfer laut , dan lapisan litosfer.
Carbon dioxide;CO2;Suatu gas yang terjadi secara alami, juga merupakan produkdari pembakaran bahan bakar fosil dari deposit fosil karbon, seperti minyak, gasdan batubara, pembakaran biomassa dan perubahan penggunaan lahan dan lainnyaseperti proses industri. Gas ini adalah termasuk gas utama rumah kaca gas yang mempengaruhi keseimbangan radiasi di bumi. Gas ini juga menjadi gas referensi ukuran terhadap gas-gas rumah kaca lainnya.
Carbon dioxide (CO2) fertilization;Fertilisasi karbon dioksida;Peningkatan pertumbuhan tanaman sebagai akibat meningkatnya konsentrasi karbon dioksidadi (CO2) di atmosfer. Tergantung pada mekanisme mereka fotosintesis, beberapa jenis tanaman lebih sensitif terhadap konsentrasi perubahan CO2 dalam atmosfer. Secara khusus, tanaman C3 umumnya menunjukkan respon yang lebih besar terhadap CO2 daripada tanaman C4.
Carbon intensity;Intensitas Karbon;Jumlah emisi CO2 per unit dari PDB.
Carbon leakage;Kebocoran Karbon;Bagian dari pengurangan emisi di negara-negara Annex B yang mungkin diimbangi oleh peningkatan emisi di atas tingkat dasar di negara non-Annex. Hal ini dapat terjadi melalui (1) relokasi intensif energi produksi wilayah non terbatas, (2) peningkatan konsumsi fosil bahan bakar di wilayah ini melalui penurunan harga minyak internasional dan gas yang dipicu oleh permintaan yang lebih rendah untuk energi ini, dan (3) perubahan pendapatan (sehingga permintaan energi) karena hal yang lebih baik dari perdagangan. Kebocoran juga mengacu pada gas rumah kaca yang berhubungan dengan efek rumah kaca dengan adanya pengurangan emisi atau CO2 melalui kegiatan proyek penyerapan yang terjadi di luar batas-batas proyek dan yang terukur dan diakibatkan pula oleh adanya aktivitas. Pada banyak kesempatan, kebocoran dipahami sebagai awal menangkal 21 kegiatan. Namun demikian, mungkin ada situasi di mana efek diatribusikan (berkontribusi) pada aktivitas di luar wilayah proyek yang menyebabkan pengurangan emisi Gas Rumah Kaca. Hal Ini biasa disebut spill-over. Sementara itu adanya kebocoran spillover negative menyebabkan adanya diskon pengurangan emisi sebagai diverifikasi, sedangan spill-over positif mungkin tidak dalam semua kasus dapat dipertanggungjawabkan.
Carbon Market;Pasar Karbon;Suatu pasar yang melakukan transaksi emisi karbon, yang biasanya diperjual-belikan dalam bentuk kredit karbon. Pasar terdiri dari pasar sukarela (di mana target pengurangan emisi tidak diatur) dan pasar sesuai.
Carbon pool;Kolam Karbon;Kolam karbon: letaknya dapat di atas tanah biomassa, atau di bawah tanah biomassa, berasal dari sampah kayu, atau kayu mati dan karbon tanah organik. Negara-negara yang menjadi anggota Proyek CDM dapat memilih untuk menjelaskan satu atau lebih sumber karbon jika mereka memberikannya tidak transparan dan informasinya dapat diverifikasi yang menunjukkan bahwa pilihannya akan tidak meningkatkan penyerapan bersih GRK oleh antropogenik yang diharapkan menjadi sink.
Carbon price;Harga Karbon;Apa yang harus dibayar (untuk beberapa otoritas publik sebagai tarif pajak, atau pada pertukaran beberapa izin emisi) untuk emisi 1 ton CO2 ke atmosfer. Dalam model dan Laporan, harga karbon adalah biaya sosial menghindari unit tambahan CO2 yang ekuivalen dengan besarnya emisi. Pada beberapa model itu diwakili oleh satuan harga bayangan tambahan CO2 yang dihasilkan, pada orang lain dengan tarif pajak karbon, atau tunjangan harga izin emisi. Hal ini juga telah digunakan dalam berbagai Laporan sebagai tingkat cut-off untuk biaya peredaan marjinal dalam penilaian potensi mitigasi ekonomi.
Carbon sinks;Penyerap Karbon;Penyerap carbon adalah ecosistem, terutama hutan dan lautan, yang mengurangi carbon dioksida dari atmosfer dengan cara 22 penyerapan dan penyimpanan sehingga dapat mengurangi emisi karbon dioksida.
Carbon Stock;Stok Karbon;Jumlah Absolut carbon yang terdapat pada suatu daerah pada waktu tertentu.
Carbonaceous aerosol;Carbonaceous aerosol;Aerosol yang utamanya terdiri dari zat organik dari berbagai bentuk karbon hitam (Charlson dan Heintzenberg, 1995, hal. 401).
CCS-ready;CCS-ready;Jika penyebaran cepat CCS (Carbon Captured and Storage atau Penyimpanan dan Penangkapan Karbon) seperti yang diinginkan, maka pembangkit listrik baru bisa dirancang dan terletak menjadi 'CCS-siap' oleh ruang pemesanan untuk instalasi menangkap karbon, unit merancang untuk kinerja yang optimal ketika menangkap kabon ditambahkan pula dan tapak pabrik untuk mengaktifkan akses ke waduk penyimpanan karbon.
Certified Emission Reduction Unit;CER;Sama dengan satu ton metrik CO2 atau setara pengurangan emisi atau yang dikeluarkan melalui proyek Mekanisme Pembangunan Bersih, dihitung dengan menggunakan nilai Potensi Pemanasan Global. Untuk mencerminkan potensi nonpermanen melalui proyek aforestasi dan proyek kegiatan reboisasi, penggunaan sertifikat sementara untuk antropogenik Bersih Penghapusan Gas Rumah Kaca diputuskan oleh COP 9.
Carbon sequestration;Carbon sequestration;Proses peningkatan kandungan karbon dari suatu reservoir / kolam selain atmosfer.
Catchment;Daerah Tangkapan;Suatu daerah yang tangkapan air hujan atau daerah aliran sungai.
CDM;Clean Development Mechanism;CDM atau Mekanisme Pembangunan Bersih memungkinkan proyek pengurangan gas rumah kaca berlangsung di negara 23 yang memiliki target emisi tidak di bawah Protokol Kyoto Konvensi Kerangka Kerja PBB tentang Perubahan Iklim (UNFCCC), yang baru saja ditandatangani.
CDM Executive Board;CDM Executive Board;Badan Eksekutif CDM merupakan badan yang memberikan persetujuan proyek CDM, menyatakan perusahaan operasional dan akan mengeluarkan kredit karbon untuk proyek-proyek CDM.
CDM Project Cycle;Siklus Proyek CDM;Hal ini mengacu pada tahapan-tahapan yang suatu kegiatan proyek harus lalui sebelum mendapatkan certified emissions reductions (CER) oleh CDM EB. Tahapan meliputi Konsepsi Ide Proyek, sampai dengan pengembangan Dokumen Desain Proyek, Validasi, Registrasi, Pemantauan dan Verifikasi, dan Penerbitan CER.
Certified Emission Reductions;CER;Merupakan unit dasar dari Mekanisme Pembangunan Bersih. dimana (Satu) CER setara dengan pengurangan emisi sebesar satu ton karbon dioksida (tCO2e).
Chaos;Kekacauan;Sebuah sistem dinamis seperti sistem iklim, diatur oleh persamaan nonlinier deterministik (lihat Nonlinieritas), mungkin menunjukkan menentu atau perilaku kacau dalam arti bahwa keadaan awal sistem sangat kecil mengalami perubahan namun akan menyebabkan perubahan besar dan tampaknya tak terduga menjadi perubahan evolusi temporal. Perilaku kacau tersebut dapat membatasi prediktabilitas sistem dinamis nonlinier.
Chagas' disease;Penyakit Chagas;Sebuah penyakit yang disebabkan oleh parasit Trypanosoma cruzi dan ditransmisikan oleh bug triatomine di Amerika, dengan dua periode klinis: akut (demam, pembengkakan limpa, oedema) dan kronis(sindrom pencernaan, kondisi jantung yang fatal).
Chemical oxygen demand (COD);Keperluan Senyawa Oksigen;"Jumlah oksigen yang dibutuhkan untuk oksidasi lengkap pada 24 organik senyawa kimia dalam air; dan digunakan sebagai ukuran dari tingkat polutan organik dan limbah di perairan alami."
Cholera;Kolera;Sebuah infeksi yang terbawa air usus disebabkan oleh bakteri (Vibriocholerae) yang menghasilkan tinja berair, kram perut dan rasa sakit, dan akhirnya berakibat mengalami dehidrasi danbahkan bias menjadi shock.
Chlorofluorocarbons;CFCs;Gas rumah kaca yang tercakup dalam Protokol Montreal 1987 dan digunakan untuk pendinginan, AC, kemasan, isolasi, pelarut, atau aerosol propelan. Karena mereka tidak dapat hancur di bawah atmosfer, CFC melayang ke atmosfer atas, menyesuaikan kondisi yang cocok, mereka memecah ozon. Gas-gas ini sedang digantikan oleh senyawa lain, termasuk hydrochlorofluorocarbons dan hidrofluorokarbon, yang merupakan gas-gas rumah kaca yang tercakup dalam Protokol Kyoto.
Charcoal;Charcoal;"Bahan yang dihasilkan dari charring biomassa, biasanya mempertahankan beberapa tekstur khas mikroskopis dari jaringan kimia tanaman itu; sebagian besar terdiri dari karbon dengan graphitic struktur tidak teratur, dengan jumlah yang lebih kecil dari oksigen dan hidrogen (Charlson dan Heintzenberg, 1995, hal. 402)."
Chronology;Kronologi;Pengaturan peristiwa menurut tanggal atau waktu kejadian.
Clathrate;methane;Suatu campuran berupa sebagian zat cair yang dibekukan dan berasal dari gas metana dan es, biasanya ditemukan dalam sedimen.
Clausius-Clapeyron Relationship (or equation);Persamaan Clausius-Clapeyron;Persamaan diferensial yang berkaitan dengan tekanan dari suatu zat (biasanya uap air) tehadap suhu dalam sistem di mana dua fase substansi (air) berada dalam kesetimbangan. 25
Clean Development Mechanism (CDM);Mekanisme Pembangunan Bersih;Yang dimaksud dalam Pasal 12 dari Protokol Kyoto, adalah untuk memenuhi dua tujuan: (1) untuk membantu pihak yang tidak termasuk dalam Lampiran I dalam mencapai pembangunan berkelanjutan dan untuk berkontribusi dalam tujuan utama dari konvensi tersebut, dan (2) untuk membantu pihak-pihak termasuk dalam Lampiran I dalam mencapai penaatan mereka dihitung pembatasan emisi dan komitmen pengurangan. Emisi bersertifikat Pengurangan Unit dari proyek CDM yang dilakukan dalam negara-negara Non-Annex yang membatasi atau mengurangi emisi gas rumah kaca, maka ketika bersertifikat oleh entitas operasional yang ditunjuk oleh Konferensi Para Pihak /Pertemuan Para Pihak, dan dapat diterima oleh investor (pemerintah atau industri) dari pihak dalam Annex B. Sebagian dari hasil dari kegiatan proyek bersertifikat digunakan untuk menutupi biaya administrasi serta untuk memenuhi biaya adaptasi dalam rangka membantu mengembangkan negara-negara yang sangat rentan terhadap dampak negatif perubahan iklim.
Climate;Iklim;Iklim dalam arti sempit biasanya didefinisikan sebagai rata-rata cuaca, atau lebih ketat, sebagai deskripsi statistik dalam hal ratarat dan variabilitas dalam jumlah yang relevan selama periode waktu dimulai dari bulan ke ribuan atau jutaan tahun. Periode klasik rata-rata untuk variabel-variabel ini adalah 30 tahun, sebagai yang telah didefinisikan oleh Organisasi Meteorologi Dunia (WMO). Kuantitas variabel yang paling sering relevan dengan kondisi permukaan bumi seperti suhu, curah hujan dan angin. Iklim dalam arti lebih luas adalah iklim suatu wilayah atau negara, termasuk deskripsi statistik, dari sistem iklim. Dalam berbagai bab dalam laporan sering dijumpai yang berbeda periode rata-rata, seperti jangka waktu 20 tahun, juga sudah dapat digunakan.
Climate Change;Perubahan Iklim;Perubahan iklim mengacu pada perubahan iklim di suatu wilayah 26 atau negara yang dapat diidentifikasi (misalnya, dengan menggunakan uji statistik) dengan perubahan dalam rata-rata dan/atau variabilitas dari sifat-sifatnya, dan bahwa perubahan tersebut telah berlangsung selama jangka waktu yang panjang, biasanya dekade atau lebih. Perubahan iklim terjadi mungkin karena proses internal alam atau pendorong eksternal, atau perubahan peningkatan penggunaan bahan bakar antropogenik atau dalam penggunaan lahan. Perhatikan bahwa Konvensi Kerangka Perubahan Iklim PBB (UNFCCC), dalam Pasal, yang 1 telah mendefinisikan perubahan iklim sebagai: 'perubahan iklim yang disebabkan secara langsung atau tidak langsung oleh aktivitas manusia sehingga mengubah komposisi atmosfer global dan yang merupakan tambahan terhadap variabilitas iklim alami yang diamati selama dibandingkan dengan periode waktu tertentu. UNFCCC membuat perbedaan antara perubahan iklim disebabkan oleh tindakan manusia dalam mengubah komposisi atmosfer, dan variabilitas iklim disebabkan oleh penyebab alami.
Climate change commitment;Kometmen Perubahan Iklim;Karena perubahan suhu dari laut dan proses lambat dalam biosfer, kriosfer dan permukaan tanah, iklim akan terus berubah bahkan jika komposisi atmosfer didefinisikan pada nilai saat ini. Dengan adanya perubahan komposisi atmosfer mengarah pada komitmen terjadinya perubahan iklim, yang terus menerus selama terjadi ketidak seimbangan radiasi dan semua komponen dari sistem iklim pada suatu wilayah. Komitmen perubahan iklim mencakup masa depan perubahan lainnya, misalnya dalam siklus hidrologi, dalam peristiwa cuaca dan iklim ekstrim, dan juga perubahan permukaan laut.
Climate Extreme (Extreme Weather or Climate Event);Iklim Ekstrim;"Terjadinya nilai dari cuaca atau iklim variabel di atas (atau bawah) nilai ambang dekat bagian atas (atau bawah) nilai kisaran pengamatan. Untuk mempermudah, cuaca ekstrim baik peristiwa dan kejadian iklim ekstrim secara kolektif disebut iklim sebagai 'ekstrem. """
